iter	Logloss
0	0.6723361661
1	0.6532856596
2	0.6357970982
3	0.6218726026
4	0.608410477
5	0.5959876766
6	0.5862736645
7	0.5779600062
8	0.5706281449
9	0.5614011055
10	0.5545285783
11	0.5483216274
12	0.5416674344
13	0.5360341931
14	0.5306503793
15	0.5258441487
16	0.5213530918
17	0.5180782887
18	0.514448215
19	0.5112647029
20	0.5079327382
21	0.5051461117
22	0.5022177852
23	0.4999461886
24	0.4975043112
25	0.4952921794
26	0.4935952345
27	0.4914419917
28	0.4901505171
29	0.4881178789
30	0.4862453664
31	0.4849966582
32	0.4830038552
33	0.4816868882
34	0.4806230653
35	0.4793663483
36	0.4780359285
37	0.4768274742
38	0.4758712219
39	0.4752892417
40	0.474432551
41	0.47332481
42	0.4721466117
43	0.471105978
44	0.4705762389
45	0.4691858308
46	0.4685437577
47	0.4678235847
48	0.4670602265
49	0.4661192068
50	0.4651101899
51	0.4639824005
52	0.4629652177
53	0.4623534005
54	0.4621510318
55	0.4611399211
56	0.4603301845
57	0.4595884451
58	0.4586653276
59	0.4582645161
60	0.4573004642
61	0.4563741013
62	0.4557361112
63	0.455253431
64	0.4543401545
65	0.4534227427
66	0.4525207205
67	0.451458311
68	0.4505984795
69	0.4501111405
70	0.4496621709
71	0.4490589384
72	0.4484751261
73	0.4478366126
74	0.4473089149
75	0.4468494762
76	0.4463752236
77	0.4459744121
78	0.4455362258
79	0.4450460601
80	0.444555842
81	0.4439326658
82	0.4432501817
83	0.4427222224
84	0.4418377884
85	0.441216863
86	0.4407528702
87	0.4401134668
88	0.4395699607
89	0.4389720151
90	0.4383975204
91	0.4373049074
92	0.436755748
93	0.4359975196
94	0.4355477649
95	0.4349947319
96	0.4345830325
97	0.4341098268
98	0.4336172532
99	0.4330413714
100	0.43228843
101	0.4315580496
102	0.4310464483
103	0.430536208
104	0.430299736
105	0.4295816307
106	0.4291612157
107	0.4289114741
108	0.4287606136
109	0.4281803609
110	0.4273503403
111	0.4266485669
112	0.4263199402
113	0.4256752498
114	0.4252473232
115	0.424850333
116	0.4244452815
117	0.4240012324
118	0.423681426
119	0.4229793908
120	0.422497679
121	0.4220480813
122	0.4214819357
123	0.4209015521
124	0.420492025
125	0.4201118901
126	0.4194324945
127	0.4190473344
128	0.418203861
129	0.4177247141
130	0.4173274883
131	0.4168244717
132	0.416240136
133	0.4157251584
134	0.4152185038
135	0.4149315181
136	0.4144295746
137	0.4139766268
138	0.4133042193
139	0.4128800878
140	0.4125860617
141	0.4120950323
142	0.4117306011
143	0.411036444
144	0.4106922968
145	0.4099435953
146	0.4095942921
147	0.4093165193
148	0.4090970597
149	0.4085885468
150	0.4080291015
151	0.4075550845
152	0.4070607573
153	0.4067519435
154	0.4063165838
155	0.4059999966
156	0.4054479583
157	0.4050539256
158	0.4044919153
159	0.4041707217
160	0.4033963709
161	0.4030905146
162	0.4027772252
163	0.4023633273
164	0.4017356755
165	0.4012371083
166	0.4006507311
167	0.4002954081
168	0.3998664346
169	0.3991822755
170	0.3987196436
171	0.3983611275
172	0.3979944717
173	0.3973135842
174	0.3968693257
175	0.396584591
176	0.3961773671
177	0.3957220637
178	0.3954754628
179	0.3950174636
180	0.3945632333
181	0.3943041741
182	0.3938343186
183	0.3932917286
184	0.3929106253
185	0.3923905701
186	0.3920231553
187	0.3918207865
188	0.3914138768
189	0.3909581808
190	0.3906956929
191	0.3900557399
192	0.3895084388
193	0.3890628717
194	0.3889041593
195	0.388700037
196	0.3881808718
197	0.3877478153
198	0.3870504389
199	0.3863061869
200	0.3859126776
201	0.3854005791
202	0.3852070568
203	0.3846150001
204	0.3845497249
205	0.3841130828
206	0.3839303437
207	0.3836011936
208	0.3834003429
209	0.3829176888
210	0.3828480428
211	0.3822179569
212	0.3816977185
213	0.3816267638
214	0.3810307027
215	0.3807151624
216	0.3802687316
217	0.3798894866
218	0.3795531127
219	0.3790956108
220	0.3787741293
221	0.378469634
222	0.378146713
223	0.3775228824
224	0.3771200033
225	0.3770833089
226	0.3763034094
227	0.3762527911
228	0.3756753912
229	0.3756129165
230	0.3750158084
231	0.3745256951
232	0.3743234834
233	0.3736156379
234	0.3732410778
235	0.3725699266
236	0.3720268655
237	0.3715348415
238	0.3709053053
239	0.3708476726
240	0.3706820506
241	0.3701112724
242	0.369669134
243	0.3690289453
244	0.368667524
245	0.368105252
246	0.3679667713
247	0.3676071821
248	0.3673710504
249	0.366837935
250	0.3664355793
251	0.3658454856
252	0.3651314109
253	0.3647916869
254	0.3640618823
255	0.3636945983
256	0.3634680197
257	0.3628701002
258	0.3622474212
259	0.3616556786
260	0.3612921635
261	0.3609682479
262	0.3602667624
263	0.3598761583
264	0.3595442338
265	0.3587159931
266	0.3582382595
267	0.357926776
268	0.3576219405
269	0.3570313756
270	0.3563990388
271	0.3561016626
272	0.3553180989
273	0.3550021399
274	0.3544876072
275	0.354112262
276	0.353472178
277	0.3528899623
278	0.3523281091
279	0.3518415029
280	0.3514400109
281	0.3510248567
282	0.350334102
283	0.3499195236
284	0.349655544
285	0.3491328192
286	0.3483669484
287	0.347796746
288	0.3472208903
289	0.3468019934
290	0.346784379
291	0.3463726796
292	0.3460514337
293	0.3456157599
294	0.3453015283
295	0.3447721557
296	0.3441952792
297	0.3437944677
298	0.3435306974
299	0.3431502485
086
